Shoot biomass(gm) in each treatment,,,,,,,,,,,,,,,,
total_sum,treatment_5,treatment_10,treatment_15,treatment_20,treatment_25,treatment_30,treatment_35,,,treatment_5,treatment_10,treatment_15,treatment_20,treatment_25,treatment_30,treatment_35
,,,,,,3.22,4.16,,,,,,,,,
,,,,,,6.36,1.64,,,,,,,,,
,,,,,,4.76,4.15,,,,,,,,,
,,,,,,5.31,3.13,,,,,,,,,
,,,,,,6.15,6.01,,,,,,,,,
,,,,,,3.87,1.75,,,,,,,,,
,,,,,,2.69,4.39,,,,,,,,,
,,,,,,1.39,2.87,,,,,,,,,
,,,,,,1.71,5.15,,,,,,,,,
,,,,,,7.26,6.42,,,,,,,,,
,,,,,,5.5,0.4,,,,,,,,,
,,,,,,2.67,3.07,,,,,,,,,
,,,,,,5.26,5.99,,,,,,,,,
,,,,,,5.88,4.27,,,,,,,,,
,,,,,,5.8,4.76,,,,,,,,,
,,,,,,6.31,3.05,,,,,,,,,
,,,,,,2.43,4.09,,,,,,,,,
,,,,,,,3.26,,,,,,,,,
,,,,,,,5.05,,,,,,,,,
,,,,,,,4.91,,,,,,,,,
,,,,,,,0.74,,,,,,,,,
,,,,,,,4.18,,,,,,,,,
,,,,,,,3.39,,,,,,,,,
,,,,,,,3.92,,,,,,,,,
,,,,,,,3.77,,,,,,,,,
,,,,,,,3.9,,,,,,,,,
,,,,,,,4.38,,,,,,,,,
,,,,,,,3.12,,,,,,,,,
,,,,,,,3.38,,,,,,,,,
,,,,,,,3.41,,,,,,,,,
,,,,,,,0.7,,,,,,,,,
,,,,,,,1.02,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
